Date,Result,LAL Points,Opp points,LAL 3P%,REB
"Fri, Feb 12, 2021",W,115,105,20,47
"Sun, Feb 14, 2021",L,105,122,21.4,46
"Tue, Feb 16, 2021",W,112,104,42.3,38
"Thu, Feb 18, 2021",L,98,109,26.7,39
"Sat, Feb 20, 2021",L,94,96,28.9,43
"Mon, Feb 22, 2021",L,124,127,34.1,45
"Wed, Feb 24, 2021",L,89,114,24.2,45
"Fri, Feb 26, 2021",W,102,93,25.9,52
"Sun, Feb 28, 2021",W,117,91,35.5,60
"Tue, Mar 2, 2021",L,104,114,35.5,34
"Wed, Mar 3, 2021",L,120,123,44.4,41
"Fri, Mar 12, 2021",W,105,100,31.8,41
"Mon, Mar 15, 2021",W,128,97,40.7,46
"Tue, Mar 16, 2021",W,137,121,50,48
"Thu, Mar 18, 2021",W,116,105,33.3,48
"Sat, Mar 20, 2021",L,94,99,30.8,52
"Sun, Mar 21, 2021",L,94,111,20,41
"Tue, Mar 23, 2021",L,111,128,48.6,34
"Thu, Mar 25, 2021",L,101,109,34.6,42
"Fri, Mar 26, 2021",W,100,86,23.1,45
"Sun, Mar 28, 2021",W,96,93,27.5,52
"Wed, Mar 31, 2021",L,97,112,27.8,40
"Fri, Apr 2, 2021",W,115,94,51.5,55
"Sun, Apr 4, 2021",L,86,104,30.4,36
"Tue, Apr 6, 2021",W,110,101,45,49
"Thu, Apr 8, 2021",L,104,110,34.3,40
"Sat, Apr 10, 2021",W,126,101,55.9,47
"Mon, Apr 12, 2021",L,96,111,33.3,33
"Tue, Apr 13, 2021",W,101,93,36.4,38
"Thu, Apr 15, 2021",L,113,121,32.4,36
"Sat, Apr 17, 2021",W,127,115,33.3,52
"Mon, Apr 19, 2021",L,97,111,42.9,32
"Thu, Apr 22, 2021",L,110,115,33.3,45
"Sat, Apr 24, 2021",L,93,108,26.7,36
"Mon, Apr 26, 2021",W,114,103,35.5,44
"Wed, Apr 28, 2021",L,107,116,29.4,41
"Fri, Apr 30, 2021",L,106,110,25,43
"Sun, May 2, 2021",L,114,121,37.9,44
"Mon, May 3, 2021",W,93,89,43.3,43
"Thu, May 6, 2021",L,94,118,27.8,34
"Fri, May 7, 2021",L,101,106,36.7,49
"Sun, May 9, 2021",W,123,110,43.3,41
"Tue, May 11, 2021",W,101,99,42.9,53
"Wed, May 12, 2021",W,124,122,35,41
"Sat, May 15, 2021",W,122,115,37.9,45
"Sun, May 16, 2021",W,110,98,31.4,42
"Wed, May 19, 2021",W,103,100,32.3,49
"Sun, May 23, 2021",L,90,99,26.9,33
"Tue, May 25, 2021",W,109,102,30.3,39
"Thu, May 27, 2021",W,109,95,25,51
"Sun, May 30, 2021",L,92,100,32.5,50
"Tue, Jun 1, 2021",L,85,115,34.3,51
"Thu, Jun 3, 2021",L,100,113,28.6,35
"Tue, Oct 19, 2021",L,114,121,35.7,45
"Fri, Oct 22, 2021",L,105,115,44.1,46
"Sun, Oct 24, 2021",W,121,118,53.3,36
"Tue, Oct 26, 2021",W,125,121,26.7,56
"Wed, Oct 27, 2021",L,115,123,31.4,40
"Fri, Oct 29, 2021",W,113,101,44.4,42
"Sun, Oct 31, 2021",W,95,85,29,43
"Tue, Nov 2, 2021",W,119,117,24,43
"Thu, Nov 4, 2021",L,104,107,36.4,49
"Sat, Nov 6, 2021",L,90,105,28.1,59
"Mon, Nov 8, 2021",W,126,123,40.6,51
"Wed, Nov 10, 2021",W,120,117,47.4,50
"Fri, Nov 12, 2021",L,83,107,22,44
"Sun, Nov 14, 2021",W,114,106,48.4,46
"Mon, Nov 15, 2021",L,103,121,18.8,43
"Wed, Nov 17, 2021",L,102,109,27.9,38
"Fri, Nov 19, 2021",L,108,130,40,33
"Sun, Nov 21, 2021",W,121,116,32.3,51
"Tue, Nov 23, 2021",L,100,106,30.6,50
"Wed, Nov 24, 2021",W,124,116,40.5,52
"Fri, Nov 26, 2021",L,137,141,34.1,51
"Sun, Nov 28, 2021",W,110,106,28.1,42
"Tue, Nov 30, 2021",W,117,92,39.3,47
"Fri, Dec 3, 2021",L,115,119,36.4,43
"Tue, Dec 7, 2021",W,117,102,29.6,51
"Thu, Dec 9, 2021",L,95,108,40,45
"Fri, Dec 10, 2021",W,116,95,45.2,47
"Sun, Dec 12, 2021",W,106,94,46.4,44
"Wed, Dec 15, 2021",W,107,104,38.5,46
"Fri, Dec 17, 2021",L,92,110,27.9,36
"Sun, Dec 19, 2021",L,110,115,35.3,46
"Tue, Dec 21, 2021",L,90,108,20,47
"Thu, Dec 23, 2021",L,110,138,18.5,48
"Sat, Dec 25, 2021",L,115,122,28.6,47
"Tue, Dec 28, 2021",W,132,123,41.2,48
"Wed, Dec 29, 2021",L,99,104,36.6,39
"Fri, Dec 31, 2021",W,139,106,46.3,47
"Sun, Jan 2, 2022",W,108,103,31.7,28
"Tue, Jan 4, 2022",W,122,114,34.4,44
"Fri, Jan 7, 2022",W,134,118,41.5,47
"Sun, Jan 9, 2022",L,119,127,42.4,41
"Wed, Jan 12, 2022",L,116,125,34,45
"Sat, Jan 15, 2022",L,96,133,33.3,41
"Mon, Jan 17, 2022",W,101,95,29.7,45
"Wed, Jan 19, 2022",L,104,111,32.4,40
"Fri, Jan 21, 2022",W,116,105,43.3,45
"Sun, Jan 23, 2022",L,107,113,27.5,38
"Tue, Jan 25, 2022",W,106,96,31.6,38
"Thu, Jan 27, 2022",L,87,105,20.7,42
"Fri, Jan 28, 2022",L,114,117,37.5,44
"Sun, Jan 30, 2022",L,121,129,42.9,38
"Wed, Feb 2, 2022",W,99,94,36.7,53
"Thu, Feb 3, 2022",L,110,111,37.9,44
"Sat, Feb 5, 2022",W,122,115,26.5,57
"Tue, Feb 8, 2022",L,116,131,31.3,41
"Wed, Feb 9, 2022",L,105,107,45.9,38
"Sat, Feb 12, 2022",L,115,117,40.7,48
"Wed, Feb 16, 2022",W,106,101,27.8,44
"Fri, Feb 25, 2022",L,102,105,25.8,47
"Sun, Feb 27, 2022",L,95,123,20.6,38
"Tue, Mar 1, 2022",L,104,109,41.2,37
"Thu, Mar 3, 2022",L,111,132,34.3,36
"Sat, Mar 5, 2022",W,124,116,43.9,47
"Mon, Mar 7, 2022",L,110,117,30.8,43
"Wed, Mar 9, 2022",L,130,139,38.3,48
"Fri, Mar 11, 2022",W,122,109,45.2,37
"Sun, Mar 13, 2022",L,111,140,40,37
"Mon, Mar 14, 2022",L,103,114,31,43
"Wed, Mar 16, 2022",L,104,124,22.7,38
"Fri, Mar 18, 2022",W,128,123,44.2,43
"Sat, Mar 19, 2022",L,119,127,37.1,41
"Mon, Mar 21, 2022",W,131,120,37.5,41
"Wed, Mar 23, 2022",L,121,126,36.7,45
"Sun, Mar 27, 2022",L,108,116,40,39
"Tue, Mar 29, 2022",L,110,128,27.3,48
"Thu, Mar 31, 2022",L,109,122,28,40
"Fri, Apr 1, 2022",L,111,114,40.7,40
"Sun, Apr 3, 2022",L,118,129,30,40
"Tue, Apr 5, 2022",L,110,121,31,46
"Thu, Apr 7, 2022",L,112,128,28.1,42
"Fri, Apr 8, 2022",W,120,101,29,45
"Sun, Apr 10, 2022",W,146,141,37.2,50
"Tue, Oct 18, 2022",L,109,123,43.3,48
"Thu, Oct 20, 2022",L,97,103,31,38
"Sun, Oct 23, 2022",L,104,106,26.7,40
"Wed, Oct 26, 2022",L,99,110,18.2,47
"Fri, Oct 28, 2022",L,102,111,20,55
"Sun, Oct 30, 2022",W,121,110,35,51
"Wed, Nov 2, 2022",W,120,117,27.8,43
"Fri, Nov 4, 2022",L,116,130,42.3,40
"Sun, Nov 6, 2022",L,100,114,29.6,56
"Mon, Nov 7, 2022",L,116,139,37.5,33
"Wed, Nov 9, 2022",L,101,114,31.3,43
"Fri, Nov 11, 2022",L,114,120,40,41
"Sun, Nov 13, 2022",W,116,103,40.7,45
"Fri, Nov 18, 2022",W,128,121,35,44
"Sun, Nov 20, 2022",W,123,92,35.3,54
"Tue, Nov 22, 2022",L,105,115,18.2,45
"Fri, Nov 25, 2022",W,105,94,29.6,49
"Sat, Nov 26, 2022",W,143,138,51.5,39
"Mon, Nov 28, 2022",L,115,116,35.5,57
"Wed, Nov 30, 2022",W,128,109,37.8,48
"Fri, Dec 2, 2022",W,133,129,42.3,44
"Sun, Dec 4, 2022",W,130,119,38.5,51
